question_number,statement,question_a,question_b,question_c,question_d,question_e,source,answer
1,"Leia a reportagem.
Entre as vantagens listadas por estudantes, ao optar pelo ensino técnico, estão o tempo de formação mais 
rápido; seu excelente nível de especialização; e a preparação voltada às necessidades do mercado de trabalho. 
Além disso, há o fato de que essa modalidade de educação promove habilidades socioemocionais, como a 
empatia, e também estreita laços com professores.
“São professores que nos levam para escolhas além das nossas vidas”, diz um aluno de uma escola técnica com 
600 alunos matriculados no momento da entrevista. Contudo a luta dos professores, dessa unidade, é contra a 
evasão escolar acentuada pela pandemia da COVID–19.
Suponha que, no momento da entrevista, a unidade escolar mencionada no texto registrava um índice de evasão 
escolar de cerca de 30 % em relação aos alunos matriculados no início do ano letivo.
Logo, o número de alunos matriculados no início do mesmo ano, nessa unidade escolar, era aproximadamente",1 200,1 040,980,860,630,Vestibulinho 1SEM2022,D
2,"O desemprego estrutural é aquele causado pela introdução de novas tecnologias no processo produtivo de uma 
empresa, a fim de reduzir os custos.
O desemprego conjuntural está vinculado às oscilações econômicas de um país: se a economia está aquecida, 
as empresas contratam, diminuindo o desemprego; se a economia não está indo bem, as empresas demitem parte 
de seus funcionários para equilibrar suas contas, aumentando o desemprego.
Sobre os tipos de desemprego citados, podemos afirmar corretamente que","o desemprego estrutural é passageiro, pois quando a economia de um determinado país começa a melhorar 
os empregos retornam e as pessoas se reempregam","o desemprego estrutural está ligado à adoção de novas máquinas e robôs nas empresas que os adotam para 
substituir o trabalho humano","o desemprego conjuntural diminui em tempos de crise econômica e aumenta quando a economia mostra sinais 
de vitalidade",o desemprego conjuntural será zerado quando todas as máquinas e robôs forem destruídos pelos trabalhadores,"o desemprego conjuntural e o desemprego estrutural são sinônimos, pois definem o mesmo tipo de desemprego",Vestibulinho 1SEM2022,B
3,"Os agrônomos e os técnicos em agronomia podem trabalhar no acompanhamento do cultivo e da colheita 
de safras a fim de aumentar a produtividade por meio da seleção de sementes, do emprego de fertilizantes e 
do combate a pragas.
O controle biológico de pragas é uma técnica que cresce com bastante eficiência dentro do meio agrícola 
visando diminuir a necessidade de utilização de agrotóxicos a fim de evitar a contaminação do solo, da água 
e dos próprios seres humanos.
Um exemplo de controle biológico é a utilização de joaninhas, insetos predadores que se alimentam de pulgões 
e cochonilhas, pragas presentes em algumas culturas de hortaliças e árvores frutíferas.
A técnica de controle biológico descrita no texto consiste na","introdução de insetos prejudiciais à agricultura, uma vez que se alimentam de tecido vegetal","aplicação de inseticidas, a fim de diminuir o número de organismos causadores das pragas presentes em culturas 
de hortaliças e de árvores frutíferas","utilização de sementes previamente selecionadas e no emprego de fertilizantes, a fim de expandir as plantações 
de soja e de outras lavouras","utilização de inimigos naturais específicos, como predadores, a fim de combater os organismos causadores 
de danos às plantações","introdução de insetos parasitas na plantação, a fim de impedir que os seres causadores da praga cheguem 
à fase reprodutiva",Vestibulinho 1SEM2022,D
4,"O agrônomo também será responsável pela adubação da área a ser cultivada. 
A quantidade de adubo recomendada é um número expresso na unidade kg/ha (kilograma por hectare).
A adubação é, geralmente, realizada em sulcos, neste caso, transforma-se a quantidade Q de adubo de kg/ha 
para g/m (grama por metro).
Em que: 
Q = quantidade de adubo em kg/ha;
E = espaçamento em metros entre os sulcos (m).
Q . E
10
g/m
Para cada sulco, a fórmula utilizada é:
Veja o exemplo de cálculo da quantidade de adubo, considerando-se a recomendação de 350 kg/ha 
e um espaçamento entre sulcos de 45 cm.
Primeiramente, deve-se fazer a conversão de centímetro para metro: 45 cm = 0,45 m.
Depois, usando a fórmula apresentada, temos, por sulco: = 15,75 g/m.
350 . 0,45
10
g/m
Logo, a quantidade de adubo, para um sulco de 100 m de comprimento será: (15,75 g/m) x 100 m = 1 575 g ou 1,575 kg.
Considere uma recomendação para adubação de 500 kg/ha, sendo o espaçamento entre os sulcos de 60 cm. A massa 
de adubo que deverá ser utilizada, em kg, em um sulco com 150 m de comprimento, é de","3,0","4,5","30,0","450,0","4 500,0",Vestibulinho 1SEM2022,B
5,"Durante dezenas de milhares de anos, os grupos pré-históricos viveram exclusivamente da caça, da pesca 
e da coleta usando armas de pedras talhadas. Para suprir suas necessidades básicas de sobrevivência, eles 
melhoraram técnicas de caça e de pesca, inventaram ferramentas eficientes, descobriram meios para produzir 
e conservar o fogo, aprenderam a reconhecer vegetais comestíveis e ervas curativas, desenvolveram técnicas 
e instrumentos para preparar a pele de animais para roupas e tendas. Tais atividades exigiam planejamento, 
organização, divisão do trabalho, troca de informações – evidências de que os caçadores paleolíticos já tinham 
um modo de vida em sociedade.
DOMINGUES, Joelza Esther. História em documento. Imagem e texto. 6. 2ª edição. São Paulo: FTD, 2013. p.30. Adaptado.
No período abordado pelo texto, os humanos","mostraram-se incapazes de suprir suas necessidades básicas de sobrevivência, o que os fez viver exclusivamente 
da caça, da pesca e da coleta","viviam de forma muito semelhante à dos demais animais, sem desenvolver técnicas capazes de melhorar a vida 
em sociedade","aprenderam a reconhecer e a cultivar vegetais comestíveis e ervas curativas e, consequentemente, desenvolveram 
a agricultura","desconheciam formas de exploração e utilização de recursos naturais, como vegetais comestíveis e ervas curativas","reuniram um conjunto de saberes e técnicas de trabalho e desenvolveram um modo de vida em sociedade.
Leia a letra do rap do Emicida para responder às questões de 06 a 09.
Cada dia é uma chance pra ser melhor que ontem 
O sol prova isso quando cruza o horizonte 
Vira fonte que aquece, ilumina 
Faz igualzinho o olhar da minha menina
Então, sucesso na missão, parceiro, 
É ter paz quando pôr a cabeça no travesseiro
1
Conseguir manter quem te faz bem perto 
Parabéns, mamãe, seu projeto de homem feliz deu certo
15
Outra vez, a esperança na mochila eu ponho 
Quanto tempo a gente ainda tem pra realizar o nosso sonho? 
Não posso me perder não 
Vários trocou sorriso por dim*, hoje tão vagando nas multidão
5
[...]
Deixar o sofrimento lá atrás é quente 
Cê quer saber o sentido da vida? Pra frente 
Tô com a paciência de quem junta latinha 
Focado no que tenho, não no que vou ter ou tinha
[...]
20
Eles não pode me enxergar, quem dirá me entender
Começa outro dia, o trem se desprende, vai 
Cheio de gente que deixou a alegria em stand by**
Eu sei que cada orixá vai me proteger 
Porque minhas rima são oração de coração 
Homenagem a quem volta cansado dentro dos busão
10
Com a essência da rua, no espírito amordaçado 
Quando eles perceber o poder que têm, cuidado!
*dim: redução informal para “dinheiro”.
** stand by: em espera
A cada vento. Intérprete: Emicida. Compositor: Emicida. In: Pra quem 
já mordeu cachorro por comida, até que eu cheguei longe. Intérprete: 
Emicida. [S.l.]: Laboratório Fantasma, 2009. 1 CD, faixa 13",Vestibulinho 1SEM2022,E
6,"No texto apresentado, o eu lírico tece reflexões sobre sua vida e sua realidade.
Algumas delas evidenciam aspectos sociais relevantes, tais como","a garantia da felicidade pelo acúmulo financeiro, como representado no verso 8","a visibilidade social da classe trabalhadora, como representado no verso 9","as vantagens da utilização do transporte público, como representado no verso 12","a busca ininterrupta pela felicidade por meio do consumo constante, como representado no verso 22","o potencial de transformação social das classes desfavorecidas, como representado no verso 24",Vestibulinho 1SEM2022,E
7,"O rap é um estilo musical urbano caracterizado pela declamação ritmada de suas letras. Outra característica marcante 
desse gênero encontra-se na utilização de diferentes níveis de linguagem.
Assinale a alternativa em que todas as palavras pertencem à linguagem coloquial.","ser, ontem, menina, cê","cê, tô, pra, busão","pra, dim, horizonte, esperança","dim, chance, paz, latinha","sol, cruza, mamãe, amordaçado",Vestibulinho 1SEM2022,B
8,"Sobre a passagem “Tô com a paciência de quem junta latinha / Focado no que tenho, não no que vou ter ou tinha”, 
é correto afirmar que o eu lírico","sente-se dividido entre o passado, marcado pela culpa, e o futuro, marcado pelo medo e pelas incertezas","está, apesar das condições sociais, paciente e procura se manter centrado no presente vivenciando cada dia 
isoladamente","encontra-se inquieto diante de suas condições sociais, revendo o passado para não errar no futuro, mas ignorando 
o presente","permanece, durante o seu trabalho, concentrado na realização de suas tarefas para evitar relembrar suas 
experiências passadas","recorre à coleta de materiais recicláveis como metáfora para a imprudência de vivenciar apenas o presente, 
sem se preocupar com o futuro",Vestibulinho 1SEM2022,B
9,"Nos versos 1 e 2, Emicida nos remete ao",amanhecer e a um novo dia com gosto de frustação,amanhecer e à existência de uma nova interrogação,amanhecer e a uma nova oportunidade para sermos melhores,anoitecer e ao arrependimento do dia que se foi,anoitecer e à paralização dos sonhos,Vestibulinho 1SEM2022,C
10,"Considere que um mês tem, em média, uma duração de 4,5 semanas, assim, é correto afirmar que",x > y > z,y > x > z,z > x > y,x > z > y,y > z > x,Vestibulinho 1SEM2022,E
